BULAN,TAHUN,DISTRIBUTOR,KOTA,PRINSIPAL,PRODUK,BRAND,JENIS,UKURAN,QTY
November,2024,,,,BANANA SALTNIC,BEQU,SALTNIC,30ML,5309
Desember,2024,,,,BANANA SALTNIC,BEQU,SALTNIC,30ML,150
Februari,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,7120
Maret,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,5020
April,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,100
Mei,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,51
Juni,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,7764
Juli,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,4305
Agustus,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,2450
September,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,4345
Oktober,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,2469
November,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,4449
Desember,2024,,,,BLACKCURRANT FREEBASE,BEQU,FREEBASE,60ML,1120
April,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,9593
Juni,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,2960
Juli,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,5420
Agustus,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,865
September,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,4280
Oktober,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,2029
November,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,5726
Desember,2024,,,,BLACKCURRANT SALTNIC,BEQU,SALTNIC,30ML,1080
Februari,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,6675
Mei,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,4650
Juli,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,735
Agustus,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,25
September,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,50
Oktober,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,240
November,2024,,,,COLA FREEBASE,BEQU,FREEBASE,60ML,38
Februari,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,5530
Mei,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,4100
Juli,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,365
Agustus,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,325
September,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,125
Oktober,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,84
November,2024,,,,COLA SALTNIC,BEQU,SALTNIC,30ML,65
Juni,2024,,,,CREAMY BITES 3MG FREEBASE,BITES,FREEBASE,60ML,2973
Juli,2024,,,,CREAMY BITES 3MG FREEBASE,BITES,FREEBASE,60ML,1470
September,2024,,,,CREAMY BITES 3MG FREEBASE,BITES,FREEBASE,60ML,15
Oktober,2024,,,,CREAMY BITES 3MG FREEBASE,BITES,FREEBASE,60ML,52
November,2024,,,,CREAMY BITES 3MG FREEBASE,BITES,FREEBASE,60ML,155
Desember,2024,,,,CREAMY BITES 3MG FREEBASE,BITES,FREEBASE,60ML,50
Juli,2024,,,,CREAMY BITES 6MG FREEBASE,BITES,FREEBASE,60ML,1355
Oktober,2024,,,,CREAMY BITES 6MG FREEBASE,BITES,FREEBASE,60ML,98
November,2024,,,,CREAMY BITES 6MG FREEBASE,BITES,FREEBASE,60ML,104
Desember,2024,,,,CREAMY BITES 6MG FREEBASE,BITES,FREEBASE,60ML,50
Juni,2024,,,,CREAMY BITES PODS FRIENDLY,BITES,PODS FRIENDLY,30ML,2698
Juli,2024,,,,CREAMY BITES PODS FRIENDLY,BITES,PODS FRIENDLY,30ML,1150
September,2024,,,,CREAMY BITES PODS FRIENDLY,BITES,PODS FRIENDLY,30ML,15
Oktober,2024,,,,CREAMY BITES PODS FRIENDLY,BITES,PODS FRIENDLY,30ML,462
November,2024,,,,CREAMY BITES PODS FRIENDLY,BITES,PODS FRIENDLY,30ML,177
Desember,2024,,,,CREAMY BITES PODS FRIENDLY,BITES,PODS FRIENDLY,30ML,50
Februari,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,7375
Maret,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,6140
April,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,100
Mei,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,40
Juni,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,6571
Juli,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,2865
Agustus,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,1800
September,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,4185
Oktober,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,2294
November,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,3647
Desember,2024,,,,HONEYDEW FREEBASE,BEQU,FREEBASE,60ML,800
April,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,9300
Juni,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,3510
Juli,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,4345
Agustus,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,424
September,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,3700
Oktober,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,1986
November,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,4454
Desember,2024,,,,HONEYDEW SALTNIC,BEQU,SALTNIC,30ML,780
Juni,2024,,,,KAYA TOAST V1 1MG,ORAMA,FREEBASE,60ML,230
Agustus,2024,,,,KAYA TOAST V1 1MG,ORAMA,FREEBASE,60ML,514
Oktober,2024,,,,KAYA TOAST V1 1MG,ORAMA,FREEBASE,60ML,358
November,2024,,,,KAYA TOAST V1 1MG,ORAMA,FREEBASE,60ML,10
Februari,2024,,,,KAYA TOAST V1 1MG,ORAMA,FREEBASE,60ML,2045
Juni,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,9385
Juli,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,1260
Agustus,2024,,,,KAYA TOAST V1 3MG,ORAMA,FREEBASE,60ML,12881
